"freq
References : ['horn_gain_smooth','(horn_gain_120cm+horn_gain_240cm)*0.5']
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","horn_gain_smooth
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","(horn_gain_120cm+horn_gain_240cm)*0.5
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real"
151.55,21.25109,21.14939
151.60,21.25147,21.14805
151.65,21.25185,21.14955
151.70,21.25223,21.15587
151.75,21.25261,21.16411
151.80,21.25299,21.1699
151.85,21.25337,21.17266
151.90,21.25375,21.17144
151.95,21.25412,21.16706
152.00,21.2545,21.16356
152.05,21.25487,21.16081
152.10,21.25524,21.16079
152.15,21.25561,21.16403
152.20,21.25599,21.16783
152.25,21.25636,21.17419
152.30,21.25672,21.18202
152.35,21.25709,21.18872
152.40,21.25746,21.19235
152.45,21.25783,21.19023
152.50,21.25819,21.1853
152.55,21.25856,21.17988
152.60,21.25892,21.18173
152.65,21.25928,21.18891
152.70,21.25965,21.19465
152.75,21.26001,21.20134
152.80,21.26037,21.20565
152.85,21.26073,21.20625
152.90,21.2611,21.20449
152.95,21.26146,21.2007
153.00,21.26182,21.19949
153.05,21.26217,21.19708
153.10,21.26253,21.19485
153.15,21.26289,21.19791
153.20,21.26325,21.2055
153.25,21.2636,21.2162
153.30,21.26396,21.22279
153.35,21.26431,21.22219
153.40,21.26466,21.21832
153.45,21.26501,21.21263
153.50,21.26536,21.21067
153.55,21.26571,21.21439
153.60,21.26606,21.22167
153.65,21.26641,21.23446
153.70,21.26676,21.24536
153.75,21.26711,21.24885
153.80,21.26745,21.24785
153.85,21.2678,21.24183
153.90,21.26814,21.2382
153.95,21.26848,21.23731
154.00,21.26882,21.23723
154.05,21.26916,21.24364
154.10,21.2695,21.25441
154.15,21.26984,21.26517
154.20,21.27017,21.27361
154.25,21.2705,21.27499
154.30,21.27084,21.27082
154.35,21.27117,21.26513
154.40,21.27149,21.26403
154.45,21.27182,21.27152
154.50,21.27215,21.28247
154.55,21.27247,21.29561
154.60,21.27279,21.30624
154.65,21.27311,21.31001
154.70,21.27343,21.31236
154.75,21.27374,21.31056
154.80,21.27405,21.3058
154.85,21.27436,21.3036
154.90,21.27467,21.3024
154.95,21.27498,21.30584
155.00,21.27528,21.31181
155.05,21.27558,21.31821
155.10,21.27588,21.32624
155.15,21.27618,21.32617
155.20,21.27647,21.3206
155.25,21.27676,21.31473
155.30,21.27705,21.308
155.35,21.27733,21.30428
155.40,21.27762,21.3059
155.45,21.2779,21.31187
155.50,21.27817,21.3188
155.55,21.27845,21.32128
155.60,21.27872,21.322
155.65,21.27899,21.32321
